City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
384,Anadyr,64.75,177.4833,36.1,69,75,8.95,RU,2022-10-03 01:24:22
385,Talaya,61.3833,152.75,19.18,86,100,3.96,RU,2022-10-03 01:24:23
386,Aasiaat,68.7098,-52.8699,25.97,89,100,4.9,GL,2022-10-03 01:24:23
387,Cockburn Town,21.4612,-71.1419,82.71,76,100,7.74,TC,2022-10-03 01:24:24
388,Sabha,27.0377,14.4283,77.36,56,0,17.25,LY,2022-10-03 01:24:24
389,Byron Bay,-28.65,153.6167,65.71,57,13,9.57,AU,2022-10-03 01:24:24
390,Paamiut,61.994,-49.6678,35.33,68,59,7.52,GL,2022-10-03 01:24:25
391,Port Hedland,-20.3167,118.5667,80.65,61,0,8.05,AU,2022-10-03 01:24:25
392,Boguchany,58.3814,97.4531,29.7,86,100,5.55,RU,2022-10-03 01:24:25
393,Terrace,54.5163,-128.6035,64.31,67,75,6.91,CA,2022-10-03 01:24:26
394,Cua,10.1589,-66.8858,79.59,93,7,2.13,VE,2022-10-03 01:24:26
395,Kaspiysk,42.8816,47.6392,69.98,82,40,13.42,RU,2022-10-03 01:24:26
396,Bayir,37.2687,28.2167,68.52,76,0,8.79,TR,2022-10-03 01:24:27
397,Bosanski Novi,45.0458,16.3803,58.19,95,100,2.15,BA,2022-10-03 01:24:27
398,Leiyang,26.4024,112.8591,88.59,52,0,7.05,CN,2022-10-03 01:24:27
399,Vila Franca Do Campo,37.7167,-25.4333,73.2,87,86,11.61,PT,2022-10-03 01:24:28
400,Lavrentiya,65.5833,-171.0,39.6,71,22,11.77,RU,2022-10-03 01:24:28
401,Woodward,36.4337,-99.3904,71.96,29,0,5.75,US,2022-10-03 01:24:28
402,Paris,48.8534,2.3488,53.38,95,40,3.44,FR,2022-10-03 01:21:31
403,Baruun-Urt,46.6806,113.2792,26.06,56,0,12.44,MN,2022-10-03 01:24:29
404,Nuevo Casas Grandes,30.4167,-107.9167,67.32,61,93,5.53,MX,2022-10-03 01:24:30
405,Deputatskiy,69.3,139.9,10.51,93,94,4.03,RU,2022-10-03 01:24:30
406,Aromashevo,56.8602,68.6375,35.22,59,100,10.45,RU,2022-10-03 01:24:30
407,Prince Rupert,54.3161,-130.3201,55.49,85,75,10.36,CA,2022-10-03 01:24:31
408,Beloha,-25.1667,45.05,65.46,72,0,5.32,MG,2022-10-03 01:24:31
409,Khandyga,62.6667,135.6,27.21,46,11,5.12,RU,2022-10-03 01:25:31
410,Boyuibe,-20.4167,-63.2833,65.64,66,100,5.99,BO,2022-10-03 01:25:32
411,Riyadh,24.6877,46.7219,73.54,16,0,4.79,SA,2022-10-03 01:21:41
412,Mogadishu,2.0371,45.3438,76.32,82,100,15.77,SO,2022-10-03 01:25:32
413,Pierre,44.3683,-100.351,69.85,67,100,16.11,US,2022-10-03 01:25:33
414,Blind River,46.1834,-82.9582,41.11,60,100,1.3,CA,2022-10-03 01:25:33
415,Kardla,58.9978,22.7492,43.05,79,100,5.93,EE,2022-10-03 01:25:33
416,Emerald,-23.5333,148.1667,75.16,56,97,15.21,AU,2022-10-03 01:25:34
417,Aguimes,27.9054,-15.4461,68.67,88,20,12.66,ES,2022-10-03 01:25:34
418,Pauini,-7.7136,-66.9764,75.85,74,12,2.01,BR,2022-10-03 01:25:34
419,Mayumba,-3.432,10.6554,75.69,88,100,3.27,GA,2022-10-03 01:25:35
420,Menemen,38.6075,27.0694,69.58,52,0,8.05,TR,2022-10-03 01:25:35
421,Les Cayes,18.2,-73.75,79.48,85,100,4.21,HT,2022-10-03 01:25:35
422,Cowra,-33.8333,148.6833,62.31,61,100,1.1,AU,2022-10-03 01:23:53
423,La Ronge,55.1001,-105.2842,66.42,55,20,3.44,CA,2022-10-03 01:25:36
424,Nome,64.5011,-165.4064,46.17,57,0,6.91,US,2022-10-03 01:25:36
425,Ruteng,-8.6136,120.4721,72.34,72,24,0.49,ID,2022-10-03 01:25:37
426,Nishihara,26.1842,127.7558,85.28,70,40,12.66,JP,2022-10-03 01:25:37
427,Aksu,41.1231,80.2644,51.66,28,92,3.38,CN,2022-10-03 01:25:37
428,Conceicao Do Araguaia,-8.2578,-49.2647,86.58,25,91,2.37,BR,2022-10-03 01:25:38
429,Bauska,56.4075,24.1906,43.63,86,100,5.64,LV,2022-10-03 01:25:38
430,Alenquer,-1.9417,-54.7383,78.94,69,84,3.85,BR,2022-10-03 01:25:38
431,Nouadhibou,20.931,-17.0347,73.38,60,0,11.5,MR,2022-10-03 01:25:39
432,Sibolga,1.7427,98.7792,77.76,84,100,1.36,ID,2022-10-03 01:25:39
433,Peterhead,57.5058,-1.7981,52.2,81,13,9.31,GB,2022-10-03 01:25:39
434,Leon,21.1167,-101.6667,71.65,36,100,11.12,MX,2022-10-03 01:25:40
435,Ahuimanu,21.4447,-157.8378,80.31,85,100,12.66,US,2022-10-03 01:25:40
436,Saint Anthony,45.0205,-93.218,67.12,65,75,12.66,US,2022-10-03 01:25:40
437,Ketchikan,55.3422,-131.6461,54.07,76,0,13.8,US,2022-10-03 01:25:41
438,Luanda,-8.8368,13.2343,73.4,88,75,5.75,AO,2022-10-03 01:24:08
